date,RMM1,RMM2,phase,amplitude
1990-03-12,2.888395885728303,1.4246975557794592,5.0,3.220651163683542
1990-03-13,2.4103941911412186,1.424950489971332,5.0,2.8000864371581224
1990-03-14,1.9065440187925515,1.6177966221095108,5.0,2.5004351633470914
1990-03-15,1.3369771971029802,1.723447874622896,6.0,2.181233733948638
1990-03-16,0.8424074458275768,1.9200603696177998,6.0,2.0967312960326088
1990-03-17,0.3512322282366073,2.0552106898808082,6.0,2.0850072081296025
1990-03-18,0.2664859052646793,1.9089394139410303,6.0,1.9274502389950978
1990-03-19,0.1289292406172789,1.9749948327439788,6.0,1.9791986606835517
1990-03-20,0.09582391845156707,2.0874372840913153,6.0,2.089635527636803
1990-03-21,-0.016161023378900095,2.1728981330237347,7.0,2.17295823134608
1990-03-22,-0.16750975932363066,1.9205124907698148,7.0,1.92780386623524
1990-03-23,-0.6555434131198651,2.022490397273745,7.0,2.126077273654312
1990-03-24,-1.1243786145085755,1.7630029806494893,7.0,2.091030075953765
1990-03-25,-1.0074455331358396,1.540394545424004,7.0,1.8405873676105082
1990-03-26,-1.2289903392837935,1.1374309862235865,8.0,1.6745645710077752
1990-03-27,-1.3635879114174994,0.760351396258441,8.0,1.5612514973431086
1990-03-28,-1.5320424626303364,0.4133885509921859,8.0,1.5868346484097973
1990-03-29,-1.7925826328183836,0.07005988273640405,8.0,1.7939511929400773
1990-03-30,-1.8343782603618322,-0.13368384089377597,1.0,1.8392430430490185
1990-03-31,-1.8392440652199542,-0.5149877218653546,1.0,1.909981959370007
1990-04-01,-1.6109419993340808,-0.6344928852751489,1.0,1.7313911593522906
1990-04-02,-1.4985723847549404,-0.564763102761504,1.0,1.6014607564941796
1990-04-03,-1.2208693049421409,-0.8230839984047779,1.0,1.4724092937019593
1990-04-04,-0.8458671977995601,-0.9917186485272027,2.0,1.303455865823581
1990-04-05,-0.163656547880554,-1.2322855612992767,2.0,1.243105454195602
1990-04-06,0.058547601787621334,-1.522392221478595,3.0,1.5235176066240959
1990-04-07,0.32849631168775395,-1.6427767690262145,3.0,1.6752985822368103
1990-04-08,0.7034214244874677,-1.7577085492730393,3.0,1.8932356019828886
1990-04-09,0.9755032288428003,-1.8507153266683696,3.0,2.0920692555094678
1990-04-10,1.2210617563895738,-1.7513029302921204,3.0,2.1349598981168145
1990-04-11,1.2454852410382824,-1.6148269549274457,3.0,2.0393380249493793
1990-04-12,1.1636619749476447,-1.5713936353150644,3.0,1.9553483446812607
1990-04-13,1.2050524920977563,-1.328976171339466,3.0,1.7939702262577044
1990-04-14,1.6495992472751349,-0.927018869871449,4.0,1.8922319259827614
1990-04-15,1.6677712249112022,-0.537283640489872,4.0,1.7521799476594468
1990-04-16,1.773222747548292,-0.2808140471673825,4.0,1.7953204286447693
1990-04-17,1.679402651490969,0.03820574029645742,5.0,1.679837177951035
1990-04-18,1.3373739382793033,0.6275755765461318,5.0,1.477301646606374
1990-04-19,1.3010192286610043,1.2487213966490844,5.0,1.8033180972293588
1990-04-20,1.062066690909245,1.3754384073301853,6.0,1.7377619135824995
1990-04-21,0.9225823416886799,1.1833218613812824,6.0,1.5004695281206584
1990-04-22,0.6751467827673263,1.301958883335567,6.0,1.4666015519484044
1990-04-23,0.2927189684670383,1.6010750198374615,6.0,1.6276134718193798
1990-04-24,-0.23303273308325176,1.6302082087946212,7.0,1.6467796023480548
1990-04-25,-0.713092708157039,1.5196180188151585,7.0,1.6786125620685814
1990-04-26,-0.9958162575879741,0.7421802132983646,8.0,1.2419667821194431
1990-04-27,-1.6016127404165024,0.24715823371559598,8.0,1.6205710606936903
1990-04-28,-1.7708391772668695,-0.2820582610928504,1.0,1.7931615249034107
1990-04-29,-1.505966881253245,-0.5408308983369196,1.0,1.6001357155027647
1990-04-30,-1.356941194406519,-0.8770542853923297,1.0,1.6157083971442496
1990-05-01,-1.1380961679777926,-1.12643474567119,1.0,1.601286396564042
1990-05-02,-1.2019915868986701,-1.1061879500711174,1.0,1.6335346815595082
1990-05-03,-1.383575153041717,-1.1782741512440558,1.0,1.817308498743213
1990-05-04,-1.1975555468976626,-1.257124716633786,2.0,1.7362320815711638
1990-05-05,-1.0550296380217468,-1.2571534099683899,2.0,1.641195367194122
1990-05-06,-1.123266630977888,-1.2836174188411915,2.0,1.7056968084102573
1990-05-07,-1.3676767028529075,-1.3945140763946806,2.0,1.953256018239675
1990-05-08,-1.252586936942734,-1.3714571663190365,2.0,1.857382242202025
1990-05-09,-0.9650037091075878,-1.6941181614611898,2.0,1.9496842061175044
1990-05-10,-0.9550741676763536,-2.036455508323939,2.0,2.249292711753095
1990-05-11,-0.8027248288456216,-2.352422862366217,2.0,2.4856106843648096
1990-05-12,-0.4250476086516143,-2.5684107448805684,2.0,2.603343854360851
1990-05-13,0.2322220258911526,-2.563085077472255,3.0,2.5735835295692167
1990-05-14,0.9482916311293826,-2.0531689699743123,3.0,2.261583479983749
1990-05-15,1.3021223811412574,-1.6555546180134424,3.0,2.1062724868104348
1990-05-16,1.589015031284612,-1.324032210361766,4.0,2.068339929441943
1990-05-17,1.7533672467104964,-1.0394760418051252,4.0,2.0383344041947575
1990-05-18,1.8540891575602432,-1.0138882749566565,4.0,2.1132004254866685
1990-05-19,1.9314145639691782,-0.7637064013411543,4.0,2.076923129381949
1990-05-20,1.948892242987066,-0.5219806438554301,4.0,2.017583893506014
1990-05-21,1.5734404336150738,-0.3318570724334781,4.0,1.6080559426397176
1990-05-22,1.3348218585105227,-0.18965965402742826,4.0,1.348228533418311
1990-05-23,0.9613943908123087,-0.034850378703558796,4.0,0.9620258435100127
1990-05-24,0.4815449797981138,-0.21420832059638706,4.0,0.5270396305606347
1990-05-25,0.20019361741842703,-0.5799365487651251,3.0,0.6135176322231334
1990-05-26,0.08188728248087508,-0.6316074497817181,3.0,0.6368936313481776
1990-05-27,0.09790636117928476,-0.6641309185923685,3.0,0.6713088205808946
1990-05-28,0.44495336571488575,-0.49441485001518304,3.0,0.6651537728800317
1990-05-29,0.7062691527083894,-0.3310960782245442,4.0,0.7800261079496633
1990-05-30,0.8325070312128164,-0.4156017013306189,4.0,0.9304798392053867
1990-05-31,0.8709007518536409,-0.7151869659191378,4.0,1.1269252485412948
1990-06-01,0.9762519265403342,-0.7379440772539894,4.0,1.2237766484240318
1990-06-02,1.3497377029523798,-0.630155674945935,4.0,1.4895932469764133
1990-06-03,1.3335520913187193,-0.5065911823357677,4.0,1.4265327918701627
1990-06-04,1.1279509790874234,-0.33030015467576984,4.0,1.1753176606361
1990-06-05,0.9968012177245043,-0.1293459437871545,4.0,1.0051582168152655
1990-06-06,0.6453941659581615,0.06547340064703455,5.0,0.6487067100355275
1990-06-07,0.6470476063062195,0.36107325170475985,5.0,0.7409753693094375
1990-06-08,0.37872229030121024,0.6114236985022543,6.0,0.7192145106024834
1990-06-09,0.3035704497529041,0.972181740895879,6.0,1.0184755054956023
1990-06-10,0.24540671024477312,0.8392231813772798,6.0,0.8743683443458854
1990-06-11,0.02025222300113405,0.935805039820127,6.0,0.9360241583897485
1990-06-12,-0.19531251739330743,0.7772255342813433,7.0,0.8013903609286991
1990-06-13,-0.1997706255995061,0.9638598755721436,7.0,0.9843445344950955
