year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category,landfall_date,month,date,RMM1,RMM2,phase,amplitude,formation_region,typhoon_category,landfall_region
1969,6903,Viola,1969-07-28 06:00:00,22.846890919130107,116.14237660186406,40.0,950.0,2,75.0,3,1969-07-28,7,1969-07-28,0.1503442804430866,1.0218272483744872,6.0,1.0328283149597155,Open WNP,TCs,south China
1969,6906,Betty,1969-08-08 12:00:00,26.286518774647288,119.74044367605816,35.0,970.0,2,40.0,2,1969-08-08,8,1969-08-08,-1.6019422800674648,-0.5325567217197213,1.0,1.688145648490261,Open WNP,TCs,east/north China
1969,6909,(nameless),1969-09-10 00:00:00,22.70005826831772,120.25001456707945,20.0,993.0,1,25.0,1,1969-09-10,9,1969-09-10,1.8491852947111789,1.503459478097149,5.0,2.3832491805214624,South China Sea,Storms,south China
1969,6911,Elsie,1969-09-27 12:00:00,24.62256808393399,118.42778213141123,15.0,990.0,0,85.0,3,1969-09-27,9,1969-09-27,-0.2059215405351657,1.5123884056760897,7.0,1.5263428089652205,Open WNP,TCs,east/north China
1970,7004,(nameless),1970-08-03 00:00:00,22.64290195548448,114.58561569793416,15.0,995.0,0,25.0,1,1970-08-03,8,1970-08-03,-0.8567727114556175,-1.8161573213287767,2.0,2.008105299756745,North WNP,Storms,south China
1970,7008,Billie,1970-09-01 00:00:00,42.433335718635455,130.57544022854006,15.0,995.0,0,55.0,3,1970-09-01,9,1970-09-01,-1.3333353010730362,0.4357387331778286,8.0,1.402729934334811,South WNP,TCs,east/north China
1970,7013,Joan,1970-10-17 00:00:00,19.419217907407457,110.74136866203696,50.0,965.0,2,75.0,3,1970-10-17,10,1970-10-17,1.3157284424612272,0.5249358960472057,5.0,1.4165800468947491,Open WNP,TCs,south China
1971,7114,Lucy,1971-07-22 06:00:00,22.49089734917031,114.5795836151965,30.0,970.0,1,60.0,3,1971-07-22,7,1971-07-22,-0.4680974938934273,1.0041671856317895,7.0,1.1079110977370776,Open WNP,TCs,south China
1971,7115,Nadine,1971-07-26 12:00:00,24.551093692287672,118.62226576928082,12.0,980.0,0,70.0,3,1971-07-26,7,1971-07-26,-1.6364047668656214,0.7542071524992792,8.0,1.8018459950566248,Open WNP,TCs,east/north China
1971,7118,Rose,1971-08-17 00:00:00,22.75594668233086,113.55423407059314,30.0,988.0,1,60.0,3,1971-08-17,8,1971-08-17,0.1389892429073878,-1.847039460191146,3.0,1.8522615304397945,Open WNP,TCs,south China
1971,7123,Bess,1971-09-22 18:00:00,24.70739081173209,121.82967526773676,40.0,950.0,2,65.0,3,1971-09-22,9,1971-09-22,1.295751941712339,-0.454176476909218,4.0,1.3730438327413177,Open WNP,TCs,east/north China
1971,7125,Della,1971-09-29 12:00:00,18.999209365954016,110.51810247828963,20.0,985.0,1,35.0,2,1971-09-29,9,1971-09-29,1.4087496203564904,0.1199344356363786,5.0,1.41384573476245,South WNP,TCs,south China
1972,7202,Ora,1972-06-27 06:00:00,21.46157944147088,111.13152616755872,15.0,997.0,0,40.0,2,1972-06-27,6,1972-06-27,1.8801722266594316,-0.5049147366411906,4.0,1.9467887643961088,South WNP,TCs,south China
1972,7203,Rita,1972-07-27 00:00:00,38.89114157617053,117.65059320510088,15.0,980.0,0,65.0,3,1972-07-27,7,1972-07-27,0.67722677038274,1.114693473151485,6.0,1.304292006266065,Open WNP,TCs,east/north China
1972,7204,Susan,1972-07-15 06:00:00,25.008500638636185,118.99666605844172,10.0,992.0,0,45.0,2,1972-07-15,7,1972-07-15,0.7391411629569427,1.3367369292440714,6.0,1.5274800413695138,South WNP,TCs,east/north China
1972,7207,Winnie,1972-08-01 18:00:00,27.368418351879505,120.5513201781958,30.0,990.0,1,30.0,1,1972-08-01,8,1972-08-01,0.1482593698438703,1.3008540307811374,6.0,1.3092753912550383,North WNP,Storms,east/north China
1973,7301,Wilda,1973-07-03 12:00:00,24.55542886528884,118.2184762884296,25.0,988.0,1,35.0,2,1973-07-03,7,1973-07-03,1.05291331280482,-0.742741660126511,4.0,1.2885230374227332,South WNP,TCs,east/north China
1973,7303,Billie,1973-07-19 12:00:00,36.71333437136289,121.31128173188834,12.0,984.0,0,65.0,3,1973-07-19,7,1973-07-19,-0.8092247344430654,1.3225507127722187,7.0,1.5504789771837455,South WNP,TCs,east/north China
1973,7304,Dot,1973-07-17 00:00:00,22.148498913192725,114.32728478273664,25.0,980.0,1,35.0,2,1973-07-17,7,1973-07-17,-0.0013031590176801,1.6959484531985098,7.0,1.695948953869144,South China Sea,TCs,south China
1973,7311,Kate,1973-08-24 18:00:00,19.631323211905027,110.97952277321367,30.0,972.0,1,30.0,1,1973-08-24,8,1973-08-24,1.9320521281848964,0.8487793451612324,5.0,2.11027292140048,South WNP,Storms,south China
1973,7314,Marge,1973-09-14 00:00:00,19.14157897147882,110.57631542781772,40.0,975.0,2,60.0,3,1973-09-14,9,1973-09-14,0.8542494453784693,-0.5723221331088089,4.0,1.0282483838915768,South WNP,TCs,south China
1973,7318,Ruth,1973-10-18 12:00:00,18.181481218537517,109.61851878146248,35.0,973.0,2,40.0,2,1973-10-18,10,1973-10-18,-1.5968902620004188,-0.7249012729394061,1.0,1.753721860609868,Open WNP,TCs,south China
1974,7405,(nameless),1974-06-08 06:00:00,21.521143398554194,111.65022180112452,15.0,995.0,0,25.0,1,1974-06-08,6,1974-06-08,0.6191571850944585,1.579334314552475,6.0,1.696364494139461,South China Sea,Storms,south China
1974,7411,Ivy,1974-07-22 12:00:00,21.4998380347765,111.48764171957058,40.0,970.0,2,60.0,3,1974-07-22,7,1974-07-22,-0.3351281645573423,-1.2116510832077672,2.0,1.2571432830501577,South WNP,TCs,south China
1974,7419,(nameless),1974-09-06 12:00:00,21.43522666556953,111.2931733179734,20.0,987.0,1,25.0,1,1974-09-06,9,1974-09-06,-0.7250941889804013,-1.040153219905135,2.0,1.2679433361835089,North WNP,Storms,south China
1974,7421,Bess,1974-10-13 18:00:00,19.39767592932568,110.68605557595409,20.0,995.0,1,40.0,2,1974-10-13,10,1974-10-13,1.8223866500320764,0.1651152536741748,5.0,1.829851400855004,South WNP,TCs,south China
1975,7503,Nina,1975-08-03 06:00:00,23.83288267323534,121.57988085823509,45.0,950.0,2,65.0,3,1975-08-03,8,1975-08-03,0.9559260432585048,0.4120540203349717,5.0,1.040952984458988,South WNP,TCs,south China
1975,7513,Doris,1975-10-05 18:00:00,21.79374599592469,112.4979153319749,35.0,970.0,2,35.0,2,1975-10-05,10,1975-10-05,1.9080714737316715,0.8443162565460661,5.0,2.086529820044879,South China Sea,TCs,south China
1975,7515,Flossie,1975-10-23 06:00:00,21.45553737763656,111.0592834964846,30.0,980.0,1,35.0,2,1975-10-23,10,1975-10-23,1.876317541216512,0.7423244682393427,5.0,2.017823860405957,South WNP,TCs,south China
1976,7613,Billie,1976-08-09 18:00:00,24.77917763774834,121.8123354337749,45.0,955.0,2,60.0,3,1976-08-09,8,1976-08-09,-0.3670710081344984,1.0852019140522249,7.0,1.14560216448621,Open WNP,TCs,east/north China
1976,7614,Clara,1976-08-06 18:00:00,21.84646819021708,112.65776998152242,20.0,990.0,1,35.0,2,1976-08-06,8,1976-08-06,0.7749666145346518,0.896156323378665,6.0,1.1847655504676298,North WNP,TCs,south China
1976,7616,Ellen,1976-08-24 06:00:00,22.65881164235759,114.94514954978378,20.0,993.0,1,30.0,1,1976-08-24,8,1976-08-24,0.1860488833548786,-1.0386924182571111,3.0,1.0552232591932398,South WNP,Storms,south China
1976,7619,Iris,1976-09-20 06:00:00,21.294337019555275,110.67168509777638,30.0,980.0,1,35.0,2,1976-09-20,9,1976-09-20,-1.533100681568971,2.5471380438768088,7.0,2.972929517225697,South China Sea,TCs,south China
1977,7701,Ruth,1977-06-17 00:00:00,25.518208488436382,119.45516396127032,15.0,998.0,0,30.0,1,1977-06-17,6,1977-06-17,0.4746143858957272,-0.9076059109201788,3.0,1.024210576413086,South WNP,Storms,east/north China
1977,7702,(nameless),1977-07-06 06:00:00,21.38570306593479,110.84524744505434,12.0,998.0,0,20.0,1,1977-07-06,7,1977-07-06,0.988943340081431,-1.2036862643140565,3.0,1.5578413118125176,South China Sea,Storms,south China
1977,7708,Babe,1977-09-11 06:00:00,31.69547701983003,121.56381615864024,25.0,980.0,1,70.0,3,1977-09-11,9,1977-09-11,0.3504163875035847,1.706497199923651,6.0,1.7421034234448665,Open WNP,TCs,east/north China
1977,7712,Freda,1977-09-25 00:00:00,21.58768842573971,111.68216083366852,20.0,997.0,1,30.0,1,1977-09-25,9,1977-09-25,-2.062410250343942,-0.4112469876919953,1.0,2.1030121553641816,South WNP,Storms,south China
1978,7807,Agnes,1978-07-30 00:00:00,22.602431622952423,114.8674772076508,20.0,985.0,1,40.0,2,1978-07-30,7,1978-07-30,1.4619730423398674,-1.086974653000477,4.0,1.8217790954981328,South China Sea,TCs,south China
