year,chinese_code,name,landfall_time,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,max_wind,max_wind_category
1970,7005,Violet,1970-08-09 06:00:00,21.85704688007828,112.6890381865449,12.0,1000.0,0,20.0,1
1970,7008,Billie,1970-09-01 00:00:00,42.433335718635455,130.57544022854006,15.0,995.0,0,55.0,3
1970,7010,Fran,1970-09-07 18:00:00,25.25485993115801,119.36112055073592,15.0,990.0,0,30.0,1
1970,7011,Georgia,1970-09-14 06:00:00,22.812694431482768,115.12363271460919,15.0,985.0,0,65.0,3
1970,7013,Joan,1970-10-17 00:00:00,19.419217907407457,110.74136866203695,50.0,965.0,2,75.0,3
1971,7102,Wanda,1971-05-03 00:00:00,18.399878102426992,108.96245428841013,15.0,998.0,0,35.0,2
1971,7106,Dinah,1971-05-29 00:00:00,18.905268256042184,110.51314642390508,25.0,995.0,1,40.0,2
1971,7108,Freda,1971-06-18 00:00:00,22.347118460563195,113.59403415521153,20.0,983.0,1,35.0,2
1971,7109,Gilda,1971-06-27 18:00:00,19.53070847318709,110.81545296766453,40.0,972.0,2,45.0,2
1971,7113,Jean,1971-07-17 12:00:00,18.28743978459335,109.72093369234442,30.0,985.0,1,55.0,3
1971,7114,Lucy,1971-07-22 06:00:00,22.49089734917031,114.5795836151965,30.0,970.0,1,60.0,3
1971,7115,Nadine,1971-07-26 12:00:00,24.551093692287672,118.62226576928082,12.0,980.0,0,70.0,3
1971,7118,Rose,1971-08-17 00:00:00,22.75594668233086,113.55423407059314,30.0,988.0,1,60.0,3
1971,7122,Agnes,1971-09-18 18:00:00,23.71384566362218,121.54461734551127,35.0,980.0,2,40.0,2
1971,7123,Bess,1971-09-22 18:00:00,24.70739081173209,121.82967526773676,40.0,950.0,2,65.0,3
1971,7125,Della,1971-09-29 12:00:00,18.999209365954016,110.51810247828965,20.0,985.0,1,35.0,2
1972,7202,Ora,1972-06-27 06:00:00,21.461579441470878,111.13152616755873,15.0,997.0,0,40.0,2
1972,7203,Rita,1972-07-27 00:00:00,38.89114157617053,117.65059320510088,15.0,980.0,0,65.0,3
1972,7204,Susan,1972-07-15 06:00:00,25.008500638636185,118.99666605844172,10.0,992.0,0,45.0,2
1972,7207,Winnie,1972-08-01 18:00:00,27.368418351879505,120.5513201781958,30.0,990.0,1,30.0,1
1972,7209,Betty,1972-08-17 12:00:00,27.362360242504618,120.54280746648983,35.0,972.0,2,60.0,3
1972,7210,Cora,1972-08-28 00:00:00,19.75434307179769,111.0027280884552,30.0,970.0,1,30.0,1
1972,7220,Pamela,1972-11-08 06:00:00,19.410743199519825,110.73243806670668,40.0,945.0,2,50.0,2
1973,7301,Wilda,1973-07-03 12:00:00,24.555428865288842,118.21847628842961,25.0,988.0,1,35.0,2
1973,7303,Billie,1973-07-19 12:00:00,36.71333437136289,121.31128173188834,12.0,984.0,0,65.0,3
1973,7304,Dot,1973-07-17 00:00:00,22.148498913192725,114.32728478273663,25.0,980.0,1,35.0,2
1973,7307,Georgia,1973-08-12 12:00:00,21.458682001073228,111.07065899946339,30.0,970.0,1,35.0,2
1973,7311,Kate,1973-08-24 18:00:00,19.631323211905027,110.97952277321369,30.0,972.0,1,30.0,1
1973,7312,(nameless),1973-08-30 00:00:00,21.462899510143878,111.33710048985613,12.0,1001.0,0,25.0,1
1973,7314,Marge,1973-09-14 00:00:00,19.14157897147882,110.57631542781772,40.0,975.0,2,60.0,3
1973,7315,Nora,1973-10-10 06:00:00,24.332949149940603,118.11375593506534,25.0,990.0,1,70.0,3
1973,7318,Ruth,1973-10-18 12:00:00,18.181481218537513,109.61851878146248,35.0,973.0,2,40.0,2
1974,7405,(nameless),1974-06-08 06:00:00,21.521143398554194,111.65022180112452,15.0,995.0,0,25.0,1
1974,7406,Dinah,1974-06-13 00:00:00,19.52696511256591,110.81124421203862,30.0,978.0,1,35.0,2
1974,7410,Jean,1974-07-19 18:00:00,28.25456857919918,121.60227157104003,25.0,995.0,1,30.0,1
1974,7411,Ivy,1974-07-22 12:00:00,21.4998380347765,111.48764171957058,40.0,970.0,2,60.0,3
1974,7412,Lucy,1974-08-11 12:00:00,24.875784159150385,118.80807194694987,15.0,990.0,0,25.0,1
1974,7413,Mary,1974-08-19 18:00:00,28.825710108898118,121.67997076228683,30.0,977.0,1,35.0,2
1974,7416,(nameless),1974-08-29 12:00:00,36.959948178041216,122.52503238872424,30.0,985.0,1,30.0,1
1974,7419,(nameless),1974-09-06 12:00:00,21.43522666556953,111.29317331797341,20.0,987.0,1,25.0,1
1974,7420,Wendy,1974-09-28 18:00:00,24.870264905305774,121.82973509469423,30.0,986.0,1,30.0,1
1974,7421,Bess,1974-10-13 18:00:00,19.39767592932568,110.68605557595409,20.0,995.0,1,40.0,2
1974,7423,Della,1974-10-26 06:00:00,18.84068809285679,110.51518335000246,30.0,985.0,1,50.0,2
1974,7427,Irma,1974-12-02 06:00:00,21.953487504334767,112.85348750433477,15.0,998.0,0,50.0,2
1975,7503,Nina,1975-08-03 06:00:00,23.83288267323534,121.57988085823509,45.0,950.0,2,65.0,3
1975,7504,Ora,1975-08-12 12:00:00,28.248085433864087,121.5845949587262,35.0,980.0,2,40.0,2
1975,7506,(nameless),1975-08-12 00:00:00,18.286295661022866,109.36209855367429,12.0,990.0,0,20.0,1
1975,7510,Alice,1975-09-19 18:00:00,18.95772448656693,110.50826361243831,30.0,980.0,1,35.0,2
1975,7511,Betty,1975-09-22 12:00:00,22.466048624721445,120.93951375278553,35.0,965.0,2,40.0,2
1975,7513,Doris,1975-10-05 18:00:00,21.793745995924695,112.4979153319749,35.0,970.0,2,35.0,2
1975,7515,Flossie,1975-10-23 06:00:00,21.455537377636556,111.0592834964846,30.0,980.0,1,35.0,2
1976,7610,Violet,1976-07-26 00:00:00,21.63654996031791,112.01725019841045,20.0,980.0,1,35.0,2
1976,7613,Billie,1976-08-09 18:00:00,24.77917763774834,121.8123354337749,45.0,955.0,2,60.0,3
1976,7614,Clara,1976-08-06 18:00:00,21.84646819021708,112.65776998152242,20.0,990.0,1,35.0,2
1976,7616,Ellen,1976-08-24 06:00:00,22.65881164235759,114.94514954978378,20.0,993.0,1,30.0,1
1976,7619,Iris,1976-09-20 06:00:00,21.294337019555275,110.67168509777638,30.0,980.0,1,35.0,2
1977,7701,Ruth,1977-06-17 00:00:00,25.518208488436386,119.45516396127032,15.0,998.0,0,30.0,1
