year,chinese_code,name,landfall_time,month,in_jjaso,landfall_lat,landfall_lon,landfall_wind_speed,landfall_pressure,landfall_wind_category,landfall_region,landfall_region2,max_wind,lmi_category,genesis_time,genesis_lat,genesis_lon,formation_region,track_length_km,pre_landfall_track_km,ocean_residence_days,phase_landfall,amp_landfall,group_landfall,active_landfall,phase_genesis,amp_genesis,group_genesis,active_genesis,tcp_total,tcp_depth,affected_area,n_days,coastal_total,coastal_depth,coastal_area,inland_total,inland_depth,inland_area
1975,7515,Flossie,1975-10-23 06:00:00,10,True,21.45553737763656,111.0592834964846,30.0,980.0,1,South China,South China,35.0,2,1975-10-16 06:00:00,13.1,129.4,Western Tropical WNP,2724.9732859731535,2510.616225730133,7.0,5.0,2.017823860405957,5-6,True,5.0,0.8255785595028011,5-6,False,6045.464047248325,13.475331000694263,448631.95174477395,8,5502.7415008626685,20.092970457294143,273864.0119218941,542.7225463856566,3.105389620863435,174767.9398228799
1976,7610,Violet,1976-07-26 00:00:00,7,True,21.63654996031791,112.01725019841044,20.0,980.0,1,South China,South China,35.0,2,1976-07-20 06:00:00,14.1,116.1,South China Sea,1990.9549528570408,1398.441500632367,5.75,7.0,0.3939734671068298,7-8,False,6.0,0.5188555342936618,5-6,False,32150.164440739267,41.42913684618924,776027.8607807038,8,28450.614370538475,71.52575681863266,397767.40066771314,3699.550070200799,9.780430312741917,378260.4601129907
1976,7613,Billie,1976-08-09 18:00:00,8,True,24.77917763774834,121.8123354337749,45.0,955.0,2,East China,East/North China,60.0,3,1976-08-03 00:00:00,13.8,146.5,Eastern Tropical WNP,4208.533443329664,3038.4753300540665,6.75,7.0,1.14560216448621,7-8,True,4.0,0.6215112111069089,3-4,False,41232.23628236039,37.18500962553319,1108840.2745510696,10,13973.966917688716,49.02080247633957,285061.9780129753,27258.26936467167,33.08932692111919,823778.2965380943
1976,7614,Clara,1976-08-06 18:00:00,8,True,21.84646819021708,112.65776998152242,20.0,990.0,1,South China,South China,35.0,2,1976-08-03 00:00:00,20.9,114.9,North WNP,1156.7854381636864,744.1050731658682,3.75,6.0,1.1847655504676298,5-6,True,4.0,0.6215112111069089,3-4,False,14539.508611486903,31.29236130093077,464634.43495567836,5,13852.692054502213,43.44844748136908,318830.5418839723,686.8165569846884,4.7105501953018045,145803.89307170606
1976,7616,Ellen,1976-08-24 06:00:00,8,True,22.65881164235759,114.94514954978378,20.0,993.0,1,South China,South China,30.0,1,1976-08-20 18:00:00,14.3,132.0,Western Tropical WNP,2510.039408152711,2069.7524032427427,3.5,3.0,1.0552232591932398,3-4,True,2.0,0.976400695161006,1-2,False,31415.342928361675,45.09738479968952,696611.19082404,6,23363.571500120554,70.9835725707274,329140.54131103784,8051.7714282411225,21.911332072131188,367470.6495130022
1976,7619,Iris,1976-09-20 06:00:00,9,True,21.294337019555275,110.67168509777638,30.0,980.0,1,South China,South China,35.0,2,1976-09-12 18:00:00,14.8,112.9,South China Sea,3934.527673867878,1906.7509387650903,7.5,7.0,2.972929517225697,7-8,True,6.0,2.8085674774712595,5-6,True,57701.78469275378,112.05079537791649,514960.95586061256,20,53819.73161751514,148.41194589766593,362637.4635275338,3882.053075238636,25.485583449924654,152323.49233307876
1977,7701,Ruth,1977-06-17 00:00:00,6,True,25.518208488436382,119.45516396127032,15.0,998.0,0,East China,East/North China,30.0,1,1977-06-10 00:00:00,6.0,134.0,Western Tropical WNP,8991.644454211268,3485.762411191573,7.0,3.0,1.024210576413086,3-4,True,2.0,1.2433934531023942,1-2,True,13280.897135216044,28.62833961573752,463907.3489234176,12,5927.351188584038,20.658728766900904,286917.51827831485,7353.545946632008,41.54784441472925,176989.83064510277
1977,7702,(nameless),1977-07-06 06:00:00,7,True,21.38570306593479,110.84524744505434,12.0,998.0,0,South China,South China,20.0,1,1977-07-03 06:00:00,15.5,115.0,South China Sea,1245.6908423477132,1103.1236138950205,3.0,3.0,1.5578413118125176,3-4,True,3.0,1.218871387876768,3-4,True,9995.92985189123,21.307625699250305,469124.5281374982,4,8541.506830913606,30.424699234604113,280742.52320623636,1454.4230209776217,7.720604850279211,188382.00493126176
1977,7703,Sarah,1977-07-20 12:00:00,7,True,19.141313125756568,110.57631874915936,30.0,957.0,1,South China,South China,35.0,2,1977-07-13 00:00:00,6.5,142.0,Eastern Tropical WNP,5640.618456997756,3947.552524255607,7.5,5.0,0.5849181451938831,5-6,False,5.0,1.4337010095470406,5-6,True,14484.495226551568,29.34605962680682,493575.47182656097,10,13823.058416566757,34.486099049347764,400829.8647169893,661.4368099848108,7.131731955815167,92745.6071095717
1977,7704,Thelma,1977-07-25 12:00:00,7,True,25.389166398504035,119.6465001608976,15.0,990.0,0,East China,East/North China,45.0,2,1977-07-19 06:00:00,11.0,141.0,Eastern Tropical WNP,3807.9076811308305,3146.83810291472,6.25,4.0,0.7081547624002958,3-4,False,5.0,0.7554963024686827,5-6,False,17838.501984841114,19.65321763558551,907663.1783968778,9,10403.085611991293,30.637984462290742,339548.62875511346,7435.416372849819,13.087882325031748,568114.5496417644
