chinese_code,ib_sid,match_km,cma_lmi,ib_wind_kt,ib_wind_ms,group_landfall,landfall_region,active_landfall,ib_category,lmi_category
7503,1975211N20137,147.36384447594315,65.0,135.0,69.45016050703762,5-6,South China,True,3,3
7504,1975221N18127,42.23728518847621,40.0,65.0,33.438966170055146,5-6,East China,False,2,2
7510,1975258N12132,98.01827473216223,35.0,75.0,38.58342250390979,1-2,South China,False,2,2
7610,1976202N16118,129.30123598141404,35.0,55.0,28.29450983620051,7-8,South China,False,1,2
7803,1978172N17130,148.44935351103618,25.0,40.0,20.577825335418552,7-8,South China,False,1,1
7805,1978192N19154,84.16091503344225,40.0,70.0,36.01119433698247,1-2,East China,False,2,2
7807,1978203N18114,127.67689987321162,40.0,50.0,25.72228166927319,3-4,South China,True,1,2
7811,1978222N11131,195.74311070389086,25.0,45.0,23.150053502345873,5-6,East China,True,1,1
7905,1979174N07143,43.570510586133274,45.0,85.0,43.72787883776442,7-8,South China,False,2,2
7908,1979205N10148,197.201428112822,70.0,130.0,66.87793234011029,3-4,South China,True,3,3
7907,1979206N19132,126.16520601886141,30.0,60.0,30.86673800312783,3-4,South China,False,1,1
7914,1979258N10120,64.13243199559088,20.0,45.0,23.150053502345873,3-4,South China,True,1,1
8006,1980187N09146,185.1457653795019,30.0,60.0,30.86673800312783,5-6,South China,False,1,1
8012,1980236N15144,225.17900950513393,45.0,90.0,46.300107004691746,5-6,East China,True,2,2
8015,1980257N17133,42.59762323693961,60.0,125.0,64.30570417318297,1-2,South China,False,3,3
8103,1981158N17119,42.54946161208373,30.0,65.0,33.438966170055146,5-6,South China,True,2,1
8104,1981166N11135,11.098819124617226,40.0,75.0,38.58342250390979,5-6,East China,False,2,2
8106,1981178N05160,21.992344267350443,30.0,55.0,28.29450983620051,3-4,South China,False,1,1
8107,1981195N11138,252.85116319374004,30.0,55.0,28.29450983620051,1-2,East China,True,1,1
8108,1981202N24123,90.98339439197244,25.0,35.0,18.005597168491235,3-4,East China,True,1,1
8116,1981256N10150,98.43330287029517,60.0,120.0,61.73347600625566,5-6,South China,True,3,3
8209,1982202N12148,54.4978743157752,55.0,120.0,61.73347600625566,5-6,South China,False,3,3
8212,1982220N08154,33.05112862356683,35.0,80.0,41.155650670837105,5-6,South China,False,2,2
8213,1982229N09154,76.94572474707509,65.0,125.0,64.30570417318297,5-6,North China,True,3,3
8217,1982248N14133,118.9128904093586,40.0,90.0,46.300107004691746,7-8,South China,True,2,2
8302,1983188N06136,10.9502270293223,30.0,65.0,33.438966170055146,3-4,South China,True,2,1
8303,1983186N04153,296.4024568044414,35.0,90.0,46.300107004691746,3-4,South China,True,2,2
8311,1983271N18118,53.14098135169198,30.0,55.0,28.29450983620051,5-6,South China,True,1,1
8402,1984169N20137,93.82999537721432,30.0,60.0,30.86673800312783,5-6,South China,True,1,1
8403,1984180N16130,160.29065586422567,35.0,75.0,38.58342250390979,7-8,South China,True,2,2
8404,1984184N06139,118.2839839698518,30.0,55.0,28.29450983620051,1-2,South China,True,1,1
8406,1984207N29135,9.880060954251661,55.0,100.0,51.44456333854638,7-8,East China,True,3,3
8408,1984227N18118,115.40581194784944,30.0,55.0,28.29450983620051,5-6,South China,True,1,1
8410,1984239N08146,11.842886391194698,50.0,125.0,64.30570417318297,1-2,South China,False,3,2
8506,1985199N08143,103.97461580987941,40.0,75.0,38.58342250390979,1-2,East China,False,2,2
8508,1985220N18128,10.25766526119198,30.0,60.0,30.86673800312783,3-4,North China,False,1,1
8509,1985226N23126,141.8439581781935,35.0,70.0,36.01119433698247,1-2,East China,False,2,2
8510,1985227N16149,277.6717901958103,50.0,95.0,48.87233517161906,7-8,East China,False,2,2
8515,1985240N08148,107.40596007597735,40.0,75.0,38.58342250390979,7-8,South China,False,2,2
8517,1985260N13115,53.79286774062015,25.0,50.0,25.72228166927319,1-2,South China,False,1,1
8518,1985268N16126,233.98631252711215,35.0,70.0,36.01119433698247,1-2,South China,False,2,2
8521,1985284N05159,55.420467364790404,70.0,150.0,77.16684500781957,5-6,South China,True,3,3
8702,1987168N17118,126.82857565630817,35.0,35.0,18.005597168491235,5-6,South China,False,1,2
8704,1987188N10151,98.39008930056164,60.0,130.0,66.87793234011029,5-6,North China,True,3,3
8807,1988218N21128,82.83508038556533,35.0,45.0,23.150053502345873,1-2,East China,True,1,2
8817,1988263N15126,75.12049395986853,35.0,60.0,30.86673800312783,3-4,South China,True,1,2
8824,1988295N10138,0.38814351629222466,45.0,125.0,64.30570417318297,5-6,South China,True,3,2
8907,1989187N15132,204.35389158525092,30.0,60.0,30.86673800312783,3-4,South China,False,1,1
8918,1989228N29127,214.6712433634605,25.0,30.0,15.433369001563914,7-8,East China,False,0,1
8926,1989272N18120,158.64933724961358,40.0,80.0,41.155650670837105,1-2,South China,False,2,2
9004,1990163N08133,121.01788701488537,30.0,55.0,28.29450983620051,5-6,South China,False,1,1
9005,1990166N06141,165.55238217491163,40.0,90.0,46.300107004691746,7-8,South China,False,2,2
9006,1990171N11148,196.47357169190266,45.0,115.0,59.16124783932834,7-8,South China,True,3,2
9017,1990245N20123,10.556886559228031,30.0,45.0,23.150053502345873,3-4,East China,False,1,1
9403,1994153N19113,167.5572942576037,30.0,55.0,28.29450983620051,3-4,South China,True,1,1
9504,1995209N17122,116.96954508899117,30.0,35.0,18.005597168491235,1-2,South China,True,1,1
9507,1995233N23130,93.1278523949627,30.0,25.0,12.861140834636595,3-4,East China,False,0,1
9509,1995236N10134,131.30121357646394,50.0,130.0,66.87793234011029,3-4,South China,True,3,2
9606,1996202N17115,85.33001523040882,28.0,90.0,46.300107004691746,5-6,South China,True,2,1
9618,1996260N19107,220.98464634322562,33.0,65.0,33.438966170055146,5-6,South China,True,2,2
9713,1997232N17115,212.44327213441125,30.0,75.0,38.58342250390979,5-6,South China,False,2,1
9801,1998188N18117,136.53831695937498,18.0,50.0,25.72228166927319,3-4,South China,True,1,1
9802,1998213N14128,64.61939431762444,30.0,100.0,51.44456333854638,7-8,South China,False,3,1
9806,1998258N19126,250.84730995821704,40.0,130.0,66.87793234011029,3-4,East China,True,3,2
9905,1999204N17117,117.26036614116244,23.0,25.0,12.861140834636595,5-6,South China,False,0,1
9908,1999230N12129,152.141705381497,33.0,75.0,38.58342250390979,1-2,South China,True,2,2
4,2000185N15117,96.43799339131819,35.0,75.0,38.58342250390979,5-6,South China,True,2,2
16,2000248N17117,74.45521744084803,40.0,95.0,48.87233517161906,7-8,South China,True,2,2
102,2001170N11138,217.92420696406836,40.0,100.0,51.44456333854638,3-4,East China,False,3,2
103,2001180N15118,85.73938385845648,35.0,75.0,38.58342250390979,5-6,South China,True,2,2
105,2001189N13130,162.64759422126446,20.0,40.0,20.577825335418552,7-8,South China,True,1,1
107,2001204N19127,105.23203084140236,33.0,85.0,43.72787883776442,1-2,South China,True,2,2
108,2001206N14134,140.29330964944782,40.0,100.0,51.44456333854638,1-2,South China,True,3,2
114,2001239N19116,188.84744980499713,20.0,45.0,23.150053502345873,7-8,South China,True,1,1
116,2001248N23125,101.51121989057664,40.0,100.0,51.44456333854638,1-2,East China,True,3,2
119,2001264N21126,104.38983177929772,35.0,95.0,48.87233517161906,1-2,South China,True,2,2
208,2002189N21116,113.84336588580977,20.0,40.0,20.577825335418552,7-8,East China,True,1,1
209,2002195N11172,32.711159645549095,55.0,145.0,74.59461684089226,7-8,North China,False,3,3
212,2002214N19120,94.6805959945691,28.0,50.0,25.72228166927319,3-4,South China,False,1,1
214,2002227N14115,172.6671597876645,30.0,55.0,28.29450983620051,5-6,South China,True,1,1
216,2002240N16155,74.74902552144053,45.0,110.0,56.58901967240102,7-8,East China,False,3,2
218,2002252N20121,272.4370247208299,25.0,45.0,23.150053502345873,5-6,South China,False,1,1
311,2003230N18125,21.06885567749786,23.0,35.0,18.005597168491235,3-4,East China,False,1,1
313,2003240N20139,94.84370172981468,45.0,125.0,64.30570417318297,7-8,South China,False,3,2
407,2004174N14146,140.40075897534814,45.0,125.0,64.30570417318297,7-8,South China,True,3,2
421,2004255N23120,0.00015618205150497524,18.0,35.0,18.005597168491235,1-2,East China,True,1,1
505,2005192N22155,82.47855659216765,60.0,140.0,72.02238867396494,3-4,East China,False,3,3
508,2005210N19115,42.25982724167732,25.0,45.0,23.150053502345873,5-6,South China,True,1,1
510,2005222N14131,86.43095714914723,30.0,65.0,33.438966170055146,1-2,South China,False,2,1
515,2005248N08142,176.09317213115824,50.0,115.0,59.16124783932834,5-6,East China,True,3,2
518,2005262N13127,215.6416858356709,50.0,90.0,46.300107004691746,7-8,South China,True,2,2
519,2005268N19146,84.21139867119993,55.0,125.0,64.30570417318297,7-8,South China,False,3,3
606,2006209N13130,54.2097755385313,33.0,70.0,36.01119433698247,3-4,South China,False,2,2
703,2007184N16112,53.5100416528885,23.0,35.0,18.005597168491235,5-6,South China,True,1,1
707,2007216N18138,73.99244282681555,30.0,70.0,36.01119433698247,3-4,South China,False,2,1
709,2007223N19136,31.766401563877192,65.0,140.0,72.02238867396494,3-4,South China,True,3,3
713,2007257N16134,63.76381546449068,55.0,135.0,69.45016050703762,5-6,East China,True,3,3
716,2007274N18131,21.235387477629608,55.0,130.0,66.87793234011029,7-8,East China,False,3,3
806,2008169N08135,99.12654945298856,45.0,110.0,56.58901967240102,7-8,South China,True,3,2
808,2008206N22133,20.677617569411,45.0,95.0,48.87233517161906,5-6,South China,False,2,2
809,2008217N19120,21.028997812519606,25.0,50.0,25.72228166927319,1-2,South China,False,1,1
813,2008252N16128,96.39116980191055,55.0,125.0,64.30570417318297,5-6,East China,True,3,3
814,2008262N16142,181.11113792007157,50.0,125.0,64.30570417318297,5-6,South China,True,3,2
815,2008268N12140,108.90498284304343,65.0,140.0,72.02238867396494,7-8,East China,True,3,3
906,2009196N14129,64.6304483363331,38.0,65.0,33.438966170055146,5-6,South China,False,2,2
908,2009215N20133,177.2891340182734,40.0,80.0,41.155650670837105,7-8,South China,True,2,2
913,2009251N16118,95.88715583426062,20.0,30.0,15.433369001563914,5-6,South China,False,0,1
917,2009270N10148,219.21013416612018,55.0,135.0,69.45016050703762,7-8,South China,False,3,3
1003,2010198N15123,21.44703832163525,35.0,80.0,41.155650670837105,3-4,South China,True,2,2
1006,2010239N15118,118.13264668555634,28.0,60.0,30.86673800312783,1-2,South China,False,1,1
1010,2010249N24125,112.40120909278488,35.0,65.0,33.438966170055146,3-4,East China,True,2,2
1103,2011159N13122,151.1517569992534,20.0,30.0,15.433369001563914,5-6,South China,True,0,1
1104,2011167N08129,44.04855811308253,20.0,35.0,18.005597168491235,1-2,South China,False,1,1
1108,2011205N12130,217.0334613723525,28.0,65.0,33.438966170055146,7-8,South China,True,2,1
1109,2011208N09145,120.56928280010537,65.0,140.0,72.02238867396494,5-6,North China,False,3,3
1119,2011270N18139,105.72263822263022,50.0,130.0,66.87793234011029,5-6,South China,True,3,2
1206,2012177N11135,76.2121760047026,23.0,40.0,20.577825335418552,1-2,South China,False,1,1
1209,2012209N11131,294.2346762462243,40.0,90.0,46.300107004691746,5-6,East China,True,2,2
